beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
gavin wylie t/a principal parts,UK,United Kingdom,project,Northern Ireland,,,,,
leslie frances (training) limited,UK,United Kingdom,project,England,Yorkshire,,,,
merseyside lsc,UK,United Kingdom,project,England,Merseyside,,,,
"college of haringey, enfield and north-east",UK,United Kingdom,project,England,London,,,,
business finance solutions,UK,United Kingdom,project,England,North West,,,,
charnwood training group limited,UK,United Kingdom,project,England,Yorkshire,,,,
glasgow college of nautical studies,UK,United Kingdom,project,Scotland,Lowlands and Uplands,,,,
volunteering matters,UK,United Kingdom,project,England,South East,,,,
reed in partnership,UK,United Kingdom,project,England,North West,,,,
b. s. holdings limited,UK,United Kingdom,project,Northern Ireland,,,,,
ldr squared ltd,UK,United Kingdom,project,England,East of England,,,,
kensington and chelsea college,UK,United Kingdom,project,England,London,,,,
east of england energy group,UK,United Kingdom,project,England,East of England,,,,
yorkshire training services limited,UK,United Kingdom,project,England,Yorkshire,,,,
ruskin private hire limited,UK,United Kingdom,project,England,London,,,,
baltic training services limited,UK,United Kingdom,project,England,South East,,,,
george farmer technology and language,UK,United Kingdom,project,England,East Midlands,,,,
keylite roof windows ltd,UK,United Kingdom,project,Northern Ireland,,,,,
south thames college,UK,United Kingdom,project,England,South East,,,,
scl exhausts ltd,UK,United Kingdom,project,Northern Ireland,,,,,
northern innovation (ni) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
building engineering services training,UK,United Kingdom,project,England,East Midlands,,,,
ispace investments llp,UK,United Kingdom,project,England,Yorkshire,,,,
amersham & wycombe college,UK,United Kingdom,project,England,East of England,,,,
ucl advances on behalf of university college london,UK,United Kingdom,project,England,London,,,,
lewis fertility testing ltd,UK,United Kingdom,project,Northern Ireland,,,,,
top cat training centre limited liability,UK,United Kingdom,project,England,East of England,,,,
babcock training limited,UK,United Kingdom,project,England,London,,,,
south tyneside college,UK,United Kingdom,project,England,West Midlands,,,,
deti-sustainable competitiveness programme for northern ireland,UK,United Kingdom,project,Northern Ireland,,,,,
knowsley community college,UK,United Kingdom,project,England,Yorkshire,,,,
teemore engineering limited,UK,United Kingdom,project,Northern Ireland,,,,,
hartlepool college of further education,UK,United Kingdom,project,England,South West,,,,
ckw training consultants limited,UK,United Kingdom,project,England,South East,,,,
scrabster harbour trust,UK,United Kingdom,project,Scotland,Highland and Islands,,,,
include youth,UK,United Kingdom,project,Northern Ireland,,,,,
thrive,UK,United Kingdom,project,England,London,,,,
walker threemilestone limited (business park),UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
sencia,UK,United Kingdom,project,England,Merseyside,,,,
starting off (northampton) limited,UK,United Kingdom,project,England,East Midlands,,,,
swindon college,UK,United Kingdom,project,England,South West,,,,
peden power limited,UK,United Kingdom,project,Northern Ireland,,,,,
treatticket limited,UK,United Kingdom,project,Northern Ireland,,,,,
kingston college,UK,United Kingdom,project,England,London,,,,
cumbria colleges limited,UK,United Kingdom,project,England,Yorkshire,,,,
east surrey college,UK,United Kingdom,project,England,South East,,,,
kosi corporation ltd,UK,United Kingdom,project,Northern Ireland,,,,,
west yorkshire learning providers ltd,UK,United Kingdom,project,England,Yorkshire,,,,
barking and dagenham college,UK,United Kingdom,project,England,South West,,,,
generator north east,UK,United Kingdom,project,England,North East,,,,
wenta,UK,United Kingdom,project,England,East of England,,,,
working links (employment) limited,UK,United Kingdom,project,England,South Yorkshire,,,,
the university of manchester,UK,United Kingdom,project,England,North West,,,,
serco limited,UK,United Kingdom,project,England,South East,,,,
aspire to learn limited,UK,United Kingdom,project,England,East of England,,,,
n c engineering (hamiltonsbawn) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
charnwood training group limited,UK,United Kingdom,project,England,West Midlands,,,,
peopleplus (previously delivered by a4e ltd),UK,United Kingdom,project,England,East Midlands,,,,
north lancs. training group limited(the),UK,United Kingdom,project,England,East Midlands,,,,
ncg,UK,United Kingdom,project,England,North West,,,,
voyage healthcare group limited,UK,United Kingdom,project,England,East Midlands,,,,
galgorm manor hotel limited,UK,United Kingdom,project,Northern Ireland,,,,,
barnardo's,UK,United Kingdom,project,England,London,,,,
jobs & business glasgow,UK,United Kingdom,project,Scotland,Lowlands and Uplands,,,,
south yorkshire property investment company limited,UK,United Kingdom,project,England,Yorkshire,,,,
swansea metropolitan university,UK,United Kingdom,project,Wales,Wales,,,,
symphony assessment limited,UK,United Kingdom,project,England,West Midlands,,,,
apt innovations ltd,UK,United Kingdom,project,Northern Ireland,,,,,
babcock training limited,UK,United Kingdom,project,England,Merseyside,,,,
rjf jennings bakery limited,UK,United Kingdom,project,Northern Ireland,,,,,
the vocational college limited,UK,United Kingdom,project,England,South West,,,,
total people limited,UK,United Kingdom,project,England,East Midlands,,,,
canterbury college,UK,United Kingdom,project,England,East of England,,,,
