beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
danubia a.s.,SK,Slovakia,project,,,,,,
"dareto, s.r.o.",SK,Slovakia,project,,,,,,
darner  s.r.o.,SK,Slovakia,project,,,,,,
"darutil, s.r.o.",SK,Slovakia,project,,,,,,
"daryn, s.r.o.",SK,Slovakia,project,,,,,,
datalab s.r.o.,SK,Slovakia,project,,,,,,
"datalan, a.s.",SK,Slovakia,project,,,,,,
"david interier design, spol. s r.o.",SK,Slovakia,project,,,,,,
"davital, s.r.o.",SK,Slovakia,project,,,,,,
davos trade - logistics s.r.o.,SK,Slovakia,project,,,,,,
"db hotels, s.r.o.",SK,Slovakia,project,,,,,,
"dca industry, s. r. o.",SK,Slovakia,project,,,,,,
ddass klas,SK,Slovakia,project,,,,,,
"ddo, s.r.o.",SK,Slovakia,project,,,,,,
"de adda, s.r.o.",SK,Slovakia,project,,,,,,
"decom, a.s.",SK,Slovakia,project,,,,,,
deem s.r.o.,SK,Slovakia,project,,,,,,
dekonta s.r.o.,SK,Slovakia,project,,,,,,
"deleon, s.r.o.",SK,Slovakia,project,,,,,,
"delta defence, a.s.",SK,Slovakia,project,,,,,,
"delux - sm, s.r.o.",SK,Slovakia,project,,,,,,
dema s.r.o.,SK,Slovakia,project,,,,,,
denis svasta b & d integral,SK,Slovakia,project,,,,,,
detska fakultna nemocnica bb,SK,Slovakia,project,,,,,,
"devin printing house, s.r.o.",SK,Slovakia,project,,,,,,
dianovum oz,SK,Slovakia,project,,,,,,
dida ,SK,Slovakia,project,,,,,,
digital systems a.s.,SK,Slovakia,project,,,,,,
"digitra net, s.r.o.",SK,Slovakia,project,,,,,,
"din - technik, spol. s r.o.",SK,Slovakia,project,,,,,,
dipex spol.s r.o.,SK,Slovakia,project,,,,,,
direct marketing a.s.,SK,Slovakia,project,,,,,,
dirmat s.r.o.,SK,Slovakia,project,,,,,,
"distrib capital, s.r.o.",SK,Slovakia,project,,,,,,
dk zdrav. postih. deti a mlad.,SK,Slovakia,project,,,,,,
"dl interier, s.r.o.",SK,Slovakia,project,,,,,,
dobrovolne hasicske zdruzenie pole,SK,Slovakia,project,,,,,,
doddy spol. s r.o.,SK,Slovakia,project,,,,,,
dolis s.r.o.,SK,Slovakia,project,,,,,,
"doma, a.s.",SK,Slovakia,project,,,,,,
domena,SK,Slovakia,project,,,,,,
"domica komplex,s.r.o.",SK,Slovakia,project,,,,,,
"domina, s.r.o.",SK,Slovakia,project,,,,,,
"domka,ustredie",SK,Slovakia,project,,,,,,
"domo-glass, s.r.o.",SK,Slovakia,project,,,,,,
domov pre seniorov golden age,SK,Slovakia,project,,,,,,
"domov slovakia, a.s.",SK,Slovakia,project,,,,,,
domovske vzdelavacie centrum n. o.,SK,Slovakia,project,,,,,,
"door wood, s.r.o.",SK,Slovakia,project,,,,,,
"double p., spol. s r.o.",SK,Slovakia,project,,,,,,
"dr unit, spol. s r. o.",SK,Slovakia,project,,,,,,
drahuska a my... ,SK,Slovakia,project,,,,,,
"drc, s.r.o.",SK,Slovakia,project,,,,,,
dremont spol.s.r.o.,SK,Slovakia,project,,,,,,
"drevit sm, s.r.o.",SK,Slovakia,project,,,,,,
"drevital, s.r.o.",SK,Slovakia,project,,,,,,
"drevlux sk, s.r.o.",SK,Slovakia,project,,,,,,
"drevoapal, s.r.o.",SK,Slovakia,project,,,,,,
drevodom orava s.r.o.,SK,Slovakia,project,,,,,,
"drevoindustria mechanik, s. r. o., ",SK,Slovakia,project,,,,,,
drevokom slovakia s.r.o.,SK,Slovakia,project,,,,,,
drevona slovakia s.r.o.,SK,Slovakia,project,,,,,,
"drevotip, s.r.o.",SK,Slovakia,project,,,,,,
dron industries s.r.o.,SK,Slovakia,project,,,,,,
dru a.s.,SK,Slovakia,project,,,,,,
ds investments s. r. o.,SK,Slovakia,project,,,,,,
"dsc,a.s.",SK,Slovakia,project,,,,,,
"dti,s.r.o.",SK,Slovakia,project,,,,,,
"dualita, s.r.o.",SK,Slovakia,project,,,,,,
"duha, a.s.",SK,Slovakia,project,,,,,,
"dunajskrob starch, a.s.",SK,Slovakia,project,,,,,,
dusan cicko - hratega,SK,Slovakia,project,,,,,,
"duvalo trade, s.r.o.",SK,Slovakia,project,,,,,,
"duvia, o.z.",SK,Slovakia,project,,,,,,
"dv, s.r.o.",SK,Slovakia,project,,,,,,
"dyha tirola, s.r.o.",SK,Slovakia,project,,,,,,
"dynamik trading, s.r.o.",SK,Slovakia,project,,,,,,
dynamis,SK,Slovakia,project,,,,,,
dytron slovakia s.r.o.,SK,Slovakia,project,,,,,,
"e & g - eisen - stahl, s. r. o.",SK,Slovakia,project,,,,,,
"e l k o p, s.r.o.,",SK,Slovakia,project,,,,,,
